               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11372,             0.11146,                   0,                   0,                   0,                   0,                   0,             0.10984,            0.058608,                   0,             0.00183,             0.00183,             0.08353
                   1,             0.10751,             0.12778,                   0,          0.00015118,          8.2173e-05,          5.5137e-05,          2.7569e-05,             0.11096,            0.063712,                   0,           0.0036699,           0.0036699,             0.06697
                   2,             0.10532,             0.11387,                   0,                   0,                   0,                   0,                   0,             0.10389,            0.063083,                   0,           0.0055095,           0.0055095,            0.050409
                   3,             0.10347,             0.10411,                   0,                   0,                   0,                   0,                   0,             0.10379,            0.075774,                   0,           0.0073484,           0.0073484,            0.033848
                   4,              0.1059,            0.094162,                   0,                   0,                   0,                   0,                   0,             0.10708,            0.059644,                   0,           0.0091864,           0.0091864,            0.017286
                   5,             0.10109,             0.11154,                   0,                   0,                   0,                   0,                   0,             0.10943,            0.063977,                   0,           0.0099938,           0.0099938,           0.0099938
                   6,             0.10099,             0.11078,                   0,                   0,                   0,                   0,                   0,             0.10696,            0.058848,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,            0.097319,              0.1153,                   0,                   0,                   0,                   0,                   0,             0.10986,            0.063313,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.093338,             0.10173,                   0,             0.39171,            0.008546,             0.19857,             0.10648,             0.10881,            0.064689,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,             0.09183,            0.090247,                   0,             0.40562,            0.033198,             0.21079,             0.11478,             0.10798,            0.063941,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.088752,            0.088252,                   0,             0.26629,             0.14343,             0.17385,            0.093719,             0.11018,            0.066222,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.087737,            0.094146,                   0,             0.63636,           0.0017256,             0.31885,             0.17459,             0.10657,             0.06371,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.086203,            0.088434,                   0,             0.47007,             0.07034,             0.25834,             0.14634,             0.10892,             0.06069,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.085557,            0.091534,                   0,             0.60499,            0.025925,             0.31269,             0.17647,             0.10929,            0.058849,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.084534,            0.087336,                   0,             0.32564,              0.1014,             0.18656,            0.099944,             0.11123,            0.061684,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.084711,            0.087356,                   0,             0.58741,            0.074407,             0.32584,             0.19062,             0.10954,            0.060647,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,              0.0824,            0.090938,                   0,             0.52409,             0.13497,             0.31228,             0.17863,             0.10996,            0.063947,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.081946,            0.094852,                   0,             0.40604,             0.21858,             0.29328,             0.16447,             0.11219,            0.065231,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.082656,            0.091419,                   0,             0.24564,             0.12959,              0.1565,            0.084589,             0.11336,            0.063978,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.082054,             0.08081,                   0,             0.38752,             0.22626,             0.28207,             0.15919,             0.11073,            0.067633,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.080381,            0.089935,                   0,             0.48571,            0.084473,             0.27658,             0.16009,             0.10993,            0.066431,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.081013,             0.08803,                   0,             0.41145,             0.24627,             0.30643,             0.17381,             0.11157,            0.066471,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.081216,            0.089675,                   0,             0.53091,             0.18986,              0.3474,             0.20107,             0.11003,            0.065023,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,             0.07928,            0.086116,                   0,             0.49653,              0.2203,             0.33975,             0.19433,             0.10959,            0.066183,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.079005,            0.080799,                   0,             0.56268,             0.13057,             0.33595,             0.19652,             0.10967,            0.065433,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.078722,            0.085912,                   0,             0.56132,             0.20177,             0.36693,             0.21487,             0.11063,            0.064556,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.077731,            0.082705,                   0,             0.39729,             0.29258,             0.32255,             0.18251,             0.10901,            0.074282,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.077786,            0.084761,                   0,             0.48912,              0.2632,             0.36086,              0.2085,             0.10899,            0.070226,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.076888,            0.076925,                   0,             0.53257,             0.24693,             0.37511,              0.2186,             0.10957,            0.067472,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.077971,            0.093749,                   0,               0.573,             0.19253,              0.3715,             0.21889,             0.10927,            0.067054,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.075949,            0.086036,                   0,             0.79828,            0.045852,             0.41962,             0.26725,              0.1063,            0.068869,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.076527,             0.08364,                   0,             0.58553,             0.22474,             0.39251,             0.23345,             0.10833,            0.067707,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.075334,            0.085146,                   0,             0.51687,             0.29451,             0.38959,             0.22585,             0.10883,            0.070541,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.076962,            0.091018,                   0,             0.57258,             0.18961,             0.36969,              0.2185,             0.10706,            0.070666,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.075046,            0.082364,                   0,              0.4873,             0.30659,             0.38238,             0.22231,             0.10931,             0.07285,                   0,            0.009734,            0.009734,            0.009734
                  35,             0.07522,            0.085756,                   0,             0.48131,             0.30108,              0.3774,              0.2177,             0.10819,            0.073305,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,             0.07484,             0.07992,                   0,             0.53739,             0.28317,             0.40003,             0.23549,             0.10742,            0.073403,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.075187,            0.088075,                   0,             0.43127,             0.27179,             0.33482,             0.19156,             0.10909,            0.072925,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.074912,            0.088414,                   0,             0.58574,             0.24672,             0.40677,             0.24007,             0.10801,            0.068741,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.075074,            0.077512,                   0,             0.49853,             0.30634,             0.39021,             0.22643,             0.11003,            0.072063,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.074705,            0.086098,                   0,             0.54614,             0.27889,             0.39921,             0.23546,             0.10871,            0.072131,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.074451,            0.080151,                   0,             0.52028,             0.29253,             0.39548,             0.23053,             0.10974,            0.070307,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.073336,            0.081308,                   0,             0.49039,             0.33473,             0.39339,             0.22753,             0.11122,            0.078056,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.073466,             0.08025,                   0,             0.55119,             0.29907,             0.41478,             0.24622,             0.10728,            0.073318,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.074668,            0.082431,                   0,             0.54875,             0.29319,             0.40738,             0.24027,             0.10848,            0.072872,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.074634,            0.085489,                   0,             0.54229,             0.33637,             0.43492,             0.25497,             0.10714,            0.075793,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,             0.07304,            0.081987,                   0,             0.64308,             0.17441,             0.40364,             0.25024,             0.10283,             0.07563,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.073308,            0.078848,                   0,             0.52765,             0.32853,             0.42223,             0.24893,             0.10714,            0.076458,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.073823,            0.083969,                   0,               0.545,              0.3284,             0.42851,             0.25518,              0.1064,            0.076412,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.073197,            0.083955,                   0,             0.55081,             0.33514,             0.43435,             0.25607,              0.1082,            0.074958,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.072779,            0.085049,                   0,             0.59511,             0.31004,             0.44673,             0.26306,             0.10848,            0.073354,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.073601,            0.076412,                   0,             0.59344,             0.27894,             0.42913,             0.25642,             0.10633,            0.074898,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.071337,            0.083493,                   0,             0.54423,             0.34759,             0.43688,             0.25952,             0.10929,            0.073842,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.072471,            0.074254,                   0,             0.61305,             0.28062,             0.44006,             0.26603,              0.1054,            0.074904,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.072334,            0.089355,                   0,             0.58656,             0.29652,             0.43527,             0.26052,             0.10667,            0.074854,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.072571,            0.084387,                   0,             0.55685,             0.33383,             0.44091,              0.2644,             0.10759,            0.075095,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.071722,            0.079355,                   0,             0.53219,              0.3291,             0.42003,             0.24736,             0.10846,            0.073937,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.072237,            0.074987,                   0,             0.55908,             0.28695,             0.41278,             0.24448,             0.11144,            0.070531,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.070976,            0.079598,                   0,             0.54234,             0.33132,             0.43054,             0.25375,             0.10667,               0.078,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.071947,             0.07679,                   0,             0.56679,             0.33247,             0.44195,             0.26496,             0.10925,            0.072992,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,            0.070247,            0.078357,                   0,             0.55203,             0.34393,             0.44497,             0.26552,             0.10641,            0.078514,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,            0.071059,            0.076881,                   0,             0.54941,             0.34628,             0.44049,             0.26182,             0.10635,            0.078439,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,            0.070697,            0.078385,                   0,              0.5741,             0.34221,             0.45269,             0.27008,             0.10547,             0.07828,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,            0.070968,            0.082013,                   0,             0.52493,             0.37253,             0.44304,             0.26176,             0.10942,            0.079859,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,            0.070978,            0.079962,                   0,             0.54735,             0.36259,             0.45079,             0.26876,             0.10712,            0.078376,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,            0.070866,            0.079511,                   0,             0.53894,             0.35026,             0.43862,              0.2574,             0.10551,            0.079931,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.070611,            0.080173,                   0,             0.61782,             0.32618,             0.46733,             0.28429,             0.10826,            0.075295,                   0,           0.0089972,           0.0089972,           0.0089972
